Country,Year,ForestCover,LossRate
South America,2000,8350,42000
South America,2001,8308,41500
South America,2002,8266,43200
South America,2003,8223,44800
South America,2004,8178,48500
South America,2005,8130,42100
South America,2006,8088,37200
South America,2007,8051,35100
South America,2008,8016,36500
South America,2009,7979,29800
South America,2010,7949,31200
South America,2011,7918,28500
South America,2012,7889,25200
South America,2013,7864,27400
South America,2014,7837,28100
South America,2015,7809,30500
South America,2016,7778,33200
South America,2017,7745,31800
South America,2018,7713,32400
South America,2019,7681,35800
South America,2020,7645,38200
South America,2021,7607,39100
South America,2022,7568,36800
South America,2023,7531,31200
South America,2024,7500,29500
South America,2025,7470,28000
Brazil,2000,5210,27700
Brazil,2001,5182,26800
Brazil,2002,5155,28600
Brazil,2003,5127,29200
Brazil,2004,5098,30700
Brazil,2005,5067,24200
Brazil,2006,5043,19100
Brazil,2007,5024,16200
Brazil,2008,5008,17800
Brazil,2009,4990,11800
Brazil,2010,4978,12500
Brazil,2011,4966,10200
Brazil,2012,4956,7600
Brazil,2013,4948,8900
Brazil,2014,4939,9300
Brazil,2015,4930,10800
Brazil,2016,4919,12400
Brazil,2017,4907,11500
Brazil,2018,4895,12200
Brazil,2019,4883,14500
Brazil,2020,4868,15800
Brazil,2021,4852,16500
Brazil,2022,4836,15100
Brazil,2023,4821,10500
Brazil,2024,4810,9200
Brazil,2025,4801,8100
Bolivia,2000,580,2100
Bolivia,2001,578,2000
Bolivia,2002,576,2150
Bolivia,2003,574,2300
Bolivia,2004,572,2500
Bolivia,2005,569,2600
Bolivia,2006,567,2400
Bolivia,2007,564,2700
Bolivia,2008,562,2800
Bolivia,2009,559,2200
Bolivia,2010,557,2400
Bolivia,2011,554,2600
Bolivia,2012,552,2500
Bolivia,2013,549,2900
Bolivia,2014,546,3100
Bolivia,2015,543,3300
Bolivia,2016,540,3800
Bolivia,2017,536,4200
Bolivia,2018,532,4100
Bolivia,2019,528,4800
Bolivia,2020,523,5200
Bolivia,2021,518,5600
Bolivia,2022,512,6000
Bolivia,2023,506,6800
Bolivia,2024,499,7100
Bolivia,2025,492,7300
Paraguay,2000,180,2500
Paraguay,2001,177,2600
Paraguay,2002,175,2800
Paraguay,2003,172,3100
Paraguay,2004,169,3300
Paraguay,2005,165,3600
Paraguay,2006,162,3200
Paraguay,2007,159,3500
Paraguay,2008,155,3800
Paraguay,2009,152,3100
Paraguay,2010,149,3600
Paraguay,2011,145,3900
Paraguay,2012,141,4100
Paraguay,2013,137,4300
Paraguay,2014,133,4000
Paraguay,2015,129,3700
Paraguay,2016,125,3500
Paraguay,2017,122,3200
Paraguay,2018,119,2900
Paraguay,2019,116,2800
Paraguay,2020,113,2600
Paraguay,2021,110,2500
Paraguay,2022,108,2300
Paraguay,2023,106,2100
Paraguay,2024,104,1900
Paraguay,2025,102,1800
Peru,2000,780,1200
Peru,2001,779,1150
Peru,2002,778,1250
Peru,2003,777,1300
Peru,2004,775,1400
Peru,2005,774,1500
Peru,2006,772,1350
Peru,2007,771,1450
Peru,2008,769,1550
Peru,2009,768,1300
Peru,2010,766,1450
Peru,2011,765,1500
Peru,2012,763,1650
Peru,2013,761,1800
Peru,2014,759,1950
Peru,2015,757,1750
Peru,2016,755,1850
Peru,2017,753,1700
Peru,2018,751,1750
Peru,2019,750,1800
Peru,2020,748,2200
Peru,2021,746,2100
Peru,2022,744,1950
Peru,2023,742,1700
Peru,2024,740,1600
Peru,2025,738,1500
Colombia,2000,550,1000
Colombia,2001,549,950
Colombia,2002,548,1050
Colombia,2003,547,1100
Colombia,2004,546,1150
Colombia,2005,545,1200
Colombia,2006,544,1100
Colombia,2007,542,1250
Colombia,2008,541,1300
Colombia,2009,540,1050
Colombia,2010,539,1150
Colombia,2011,538,1100
Colombia,2012,537,1000
Colombia,2013,536,1150
Colombia,2014,535,1200
Colombia,2015,533,1250
Colombia,2016,532,1400
Colombia,2017,530,2200
Colombia,2018,528,2000
Colombia,2019,526,1600
Colombia,2020,524,1700
Colombia,2021,522,1750
Colombia,2022,521,1400
Colombia,2023,520,800
Colombia,2024,519,750
Colombia,2025,518,700
